1933-1267,Leukerbad,Clay,,W,19330809,1,242168,,, Hollinger,U,,SUI,,241476,,, Rey,U,,SUI,,6-3 5-7 11-9,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1935-1253,Leukerbad,Clay,,W,19350808,1,242168,,, Hollinger,U,,SUI,,241611,,, Vischer,U,,FRA,,6-0 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1920-1150,Herne Bay,Grass,,W,19200726,1,256906,,, Hollins,U,,GBR,,256907,,,Mrs Huntley,U,,GBR,,3-6 9-7 2-0 RET,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1938-1246,Evian-les-Bains,Clay,,W,19380720,2,239885,,, Holubova,U,,CZE,,238927,,, Brouillet,U,,FRA,,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1936-1341,Wengen Bernese Chps,Clay,,W,19360817,1,241492,,, Huber,U,,SUI,,241493,,, Schutz,U,,SUI,,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1959-1368,Mans,,,W,19591112,1,263051,,, Hureau,U,,FRA,,263052,,, Lebreton,U,,FRA,,6-1 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1930-1399,Alassio 2,Clay,,W,19300829,1,247182,,, Ionides,U,,GRE,,247183,,, Bettramine,U,,ITA,,0-6 7-5 9-7,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1932-1177,Gstaad 1,Clay,,W,19320704,1,237299,,, Jacky,U,,SUI,,244491,,, Weekes,U,,GBR,,6-1 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1933-1211,Gstaad 1,Clay,,W,19330717,1,237299,,, Jacky,U,,SUI,,243837,,, Merker,U,,SUI,,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1934-1275,Adelboden,Clay,,W,19340806,1,237299,,, Jacky,U,,SUI,,242974,,, Gurtner,U,,SUI,,6-3 3-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1936-1319,Coutainville,Clay,,W,19360813,1,238929,,, Joba,U,,SUI,,227756,,,Micheline Inglebert,U,,FRA,,6-0 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1939-1229,Villers-sur-Mer,Clay,,W,19390731,1,238929,,, Joba,U,,SUI,,234800,,,Henriette Morel Deville,U,,FRA,,6-3 5-7 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1928-1231,Montana Alpine Cup,Clay,,W,19280723,1,245800,,, King,U,,GBR,,249242,,,Mrs Goodwin,U,,GBR,,6-5 4-6 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1301,Montana 2,Clay,,W,19310813,1,245800,,, King,U,,GBR,,245801,,,T Furrer,U,,SUI,,6-2 4-6 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1924-1027,Madras,,,W,19240220,1,251952,,, Kirkpatrick,U,,GBR,,252706,,, Ansom,U,,IND,,6-3 RET,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1930-1327,Wengen,Clay,,W,19300804,1,247094,,, Klingenfuss,U,,SUI,,247095,,, Berthoud,U,,SUI,,6-3 6-0,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1285,Contrexeville 1,Clay,,W,19270801,1,250269,,, Kollen,U,,FRA,,250270,,,Yvonne Charerat,U,,FRA,,6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1931-1324,Gstaad,Clay,,W,19310817,1,245828,,, Kornfeld,U,,SUI,,245829,,,A Clerc,U,,SUI,,6-0 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1370,Maribor,Clay,,W,19270904,1,250433,,, Kraus,U,,,,250434,,, Schweighardt,U,,,,7-5 0-6 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1938-1402,Lugano 2,Clay,,W,19380919,1,240102,,, Kroehli,U,,SUI,,240103,,, Mentasti,U,,SUI,,6-8 6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1169,Munich,Clay,,W,19270630,1,250060,,, Krug,U,,USA,,250061,,, Mirre,U,,USA,,7-5 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1927-1259,Arosa 1,Clay,,W,19270725,1,250060,,, Krug,U,,USA,,250239,,, Andrieu,U,,AUT,,6-0 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1925-1243,Davos,Clay,,W,19250803,1,252187,,, Kruger,U,,GER,,252188,,, Pietsch,U,,SUI,,6-2 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1928-1422,Angers,Carpet,,W,19281203,1,249584,,, Langonmian,U,,FRA,,247178,,, Brown,U,,GBR,,4-6 9-7 7-5,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1936-1075,Marrakech,Clay,,W,19360404,1,238488,,, Lannefranque,U,,MAR,,241117,,, Schodauer,U,,FRA,,6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1929-1073,Marseille,Clay,,W,19290401,1,247800,,, Latty,U,,FRA,,245026,,,Diddie Vlasto,U,,FRA,25.6,6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1928-1397,Tours,,,W,19280924,1,249518,,, Le Bomin,U,,FRA,,249519,,, Langmans,U,,FRA,,6-0 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
1930-1357,Viareggio,Clay,,W,19300815,1,247143,,, Lechen,U,,ITA,,240966,,,Ivana Orlandini,U,,ITA,,6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,,,,
